ID,PRC2017,PRC2016,REMARK
785,15201362,15201362,
786,15201363,15201363,
787,15201370,15201370,
788,15201380,15201380,
789,15201444,15201444,
790,15201445,15201445,
791,15201446,15201446,
792,15202100,15202100,
793,15202900,15202900,
794,15203120,15203120,
795,15203150,15203150,
796,15203200,15203200,
797,15204020,15204020,
798,15204050,15204050,
799,15204080,15204080,
800,16101250,16101250,
801,16101271,16101271,
802,16101277,16101277,
803,16101300,16101300,
804,16102110,16102110,
805,16102210,16102210,
806,16102300,16102300,
807,16102400,16102400,
808,16102503,16102503,
809,16102505,16102505,
810,16103116,16103116,
811,16103200,16103200,
812,16103900,16103900,
813,16109100,16109100,
814,16211100,16211100,
815,16211200,16211200,
816,16211316,16211316,
817,16211419,16211419,
818,16211450,16211450,
819,16211523,16211523,
820,16211526,16211526,
821,16211529,16211529,
822,16211543,16211543,
823,16211546,16211546,
824,16211549,16211549,
825,16211711,16211711,
826,16212100,16212100,
827,16212210,16212210,
828,16212300,16212300,
829,16212400,16212400,
830,16221030,16221030,
831,16221060,16221060,
832,16231110,16231110,
833,16231150,16231150,
834,16231200,16231200,
835,16231900,16231900,
836,16232000,16232000,
837,16241133,16241133,
838,16241135,16241135,
839,16241200,16241200,
840,16241320,16241320,
841,16241350,16241350,
842,16291130,16291130,
843,16291180,16291180,
844,16291200,16291200,
845,16291300,16291300,
846,16291420,16291420,
847,16291491,16291491,
848,16291500,16291500,
849,16292130,16292130,
850,16292150,16292150,
851,16292250,16292250,
852,16292290,16292290,
853,16292320,16292320,
854,16292350,16292350,
855,16292380,16292380,
856,16292400,16292400,
857,16292500,16292500,
858,17111100,17111100,
859,17111200,17111200,
860,17111300,17111300,
861,17111400,17111400,
862,171200Z0,171200Z0,
863,17121100,17121100,
864,17121200,17121200,
865,17121300,17121300,
866,17121410,17121410,
867,17121435,17121435,
868,17121439,17121439,
869,17121450,17121450,
870,17121470,17121470,
871,17122030,17122030,
872,17122055,17122055,
873,17122057,17122057,
874,17122090,17122090,
875,17123100,17123100,
876,17123200,17123200,
877,17123300,17123300,
878,17123400,17123400,
879,17123520,17123520,
880,17123540,17123540,
881,17124120,17124120,
882,17124140,17124140,
883,17124160,17124160,
884,17124180,17124180,
885,17124220,17124220,
886,17124240,17124240,
887,17124260,17124260,
888,17124280,17124280,
889,17124330,17124330,
890,17124360,17124360,
891,17124400,17124400,
892,17125110,17125110,
893,17125910,17125910,
894,17126000,17126000,
895,17127100,17127100,
896,17127200,17127200,
897,17127336,17127336,
898,17127360,17127360,
899,17127375,17127375,
900,17127379,17127379,
901,17127400,17127400,
902,17127500,17127500,
903,17127600,17127600,
904,17127710,17127710,
905,17127733,17127733,
906,17127735,17127735,
907,17127755,17127755,
908,17127759,17127759,
909,17127770,17127770,
910,17127780,17127780,
911,17127820,17127820,
912,17127850,17127850,
913,17127953,17127953,
914,17127955,17127955,
915,17127970,17127970,
916,17211100,17211100,
917,17211230,17211230,
918,17211250,17211250,
919,17211300,17211300,
920,17211400,17211400,
921,17211530,17211530,
922,17211550,17211550,
923,17221120,17221120,
924,17221140,17221140,
925,17221160,17221160,
926,17221180,17221180,
927,17221210,17221210,
928,17221220,17221220,
929,17221230,17221230,
930,17221240,17221240,
931,17221250,17221250,
932,17221290,17221290,
933,17221300,17221300,
934,17231100,17231100,
935,17231230,17231230,
936,17231250,17231250,
937,17231270,17231270,
938,17231313,17231313,
939,17231315,17231315,
940,17231317,17231317,
941,17231319,17231319,
942,17231330,17231330,
943,17231350,17231350,
944,17231370,17231370,
945,17231380,17231380,
946,17231390,17231390,
947,17231400,17231400,
948,17241100,17241100,
949,17241200,17241200,
950,17291120,17291120,
951,17291140,17291140,
952,17291160,17291160,
953,17291180,17291180,
954,17291200,17291200,
955,17291910,17291910,
956,17291920,17291920,
957,17291930,17291930,
958,17291951,17291951,
959,17291955,17291955,
960,17291957,17291957,
961,17291985,17291985,
962,18111000,18111000,
963,18121100,18121100,
964,18121230,18121230,
965,18121250,18121250,
966,18121300,18121300,
967,18121407,18121407,
968,18121414,18121414,
969,18121421,18121421,
970,18121428,18121428,
971,18121435,18121435,
972,18121442,18121442,
973,18121449,18121449,
974,18121456,18121456,
975,18121463,18121463,
976,18121610,18121610,
977,18121620,18121620,
978,18121910,18121910,
979,18121920,18121920,
980,18121930,18121930,
981,18121990,18121990,
982,18131000,18131000,
983,18132000,18132000,
984,18133000,18133000,
985,18141010,18141010,
986,18141030,18141030,
987,18141050,18141050,
988,18201010,18201010,
989,18201030,18201030,
990,18201050,18201050,
991,18201070,18201070,
992,18202050,18202050,
993,18202070,18202070,
994,18203030,18203030,
995,18203050,18203050,
996,18203070,18203070,
997,19103000,19103000,
998,20111120,20111120,
999,20111130,20111130,
1000,20111150,20111150,
1001,20111160,20111160,
1002,20111170,20111170,
1003,20111230,20111230,
1004,20111250,20111250,
1005,20111270,20111270,
1006,20111290,20111290,
1007,20111300,20111300,
1008,20121130,20121130,
1009,20121150,20121150,
1010,20121200,20121200,
1011,20121910,20121910,
1012,20121930,20121930,
1013,20121950,20121950,
1014,20121973,20121973,
1015,20121975,20121975,
1016,20121990,20121990,
1017,20122110,20122110,
1018,20122120,20122120,
1019,20122130,20122130,
1020,20122140,20122140,
1021,20122150,20122150,
1022,20122160,20122160,
1023,20122170,20122170,
1024,20122250,20122250,
1025,20122270,20122270,
1026,20122330,20122330,
1027,20122350,20122350,
1028,20122415,20122415,
1029,20122419,20122419,
1030,20122450,20122450,
1031,20132111,20132111,
1032,20132116,20132116,
1033,20132120,20132120,
1034,20132130,20132130,
1035,20132140,20132140,
1036,20132150,20132150,
1037,20132180,20132180,
1038,20132235,20132235,
1039,20132237,20132237,
1040,20132260,20132260,
1041,20132300,20132300,
1042,20132413,20132413,
1043,20132415,20132415,
1044,20132434,20132434,
1045,20132453,20132453,
1046,20132455,20132455,
1047,20132460,20132460,
1048,20132473,20132473,
1049,20132475,20132475,
1050,20132477,20132477,
1051,20132525,20132525,
1052,20132527,20132527,
1053,20132530,20132530,
1054,20132550,20132550,
1055,20132560,20132560,
1056,20132570,20132570,
1057,20132580,20132580,
1058,20133110,20133110,
1059,20133130,20133130,
1060,20133150,20133150,
1061,20133170,20133170,
1062,20133230,20133230,
1063,20133250,20133250,
1064,20134110,20134110,
1065,20134133,20134133,
1066,20134135,20134135,
1067,20134151,20134151,
1068,20134157,20134157,
1069,20134173,20134173,
1070,20134175,20134175,
1071,20134210,20134210,
1072,20134220,20134220,
1073,20134230,20134230,
1074,20134240,20134240,
1075,20134270,20134270,
1076,20134280,20134280,
1077,20134310,20134310,
1078,20134320,20134320,
1079,20134340,20134340,
1080,20134390,20134390,
1081,20135110,20135110,
1082,20135125,20135125,
1083,20135175,20135175,
1084,20135183,20135183,
1085,20135185,20135185,
1086,20135250,20135250,
1087,20135270,20135270,
1088,20135275,20135275,
1089,20135290,20135290,
1090,20136100,20136100,
1091,20136220,20136220,
1092,20136230,20136230,
1093,20136240,20136240,
1094,20136270,20136270,
1095,20136280,20136280,
1096,20136300,20136300,
1097,20136450,20136450,
1098,20136480,20136480,
1099,20136500,20136500,
1100,20136600,20136600,
1101,20136700,20136700,
1102,20136800,20136800,
1103,20141120,20141120,
1104,20141130,20141130,
1105,20141140,20141140,
1106,20141150,20141150,
1107,20141160,20141160,
1108,20141190,20141190,
1109,20141213,20141213,
1110,20141215,20141215,
1111,20141223,20141223,
1112,20141225,20141225,
1113,20141243,20141243,
1114,20141245,20141245,
1115,20141247,20141247,
1116,20141250,20141250,
1117,20141260,20141260,
1118,20141270,20141270,
1119,20141290,20141290,
1120,20141313,20141313,
1121,20141315,20141315,
1122,20141323,20141323,
1123,20141325,20141325,
1124,20141353,20141353,
1125,20141357,20141357,
1126,20141371,20141371,
1127,20141374,20141374,
1128,20141379,20141379,
1129,20141450,20141450,
1130,20141470,20141470,
1131,20141490,20141490,
1132,20141910,20141910,
1133,20141930,20141930,
1134,20141950,20141950,
1135,20141970,20141970,
1136,20142100,20142100,
1137,20142210,20142210,
1138,20142220,20142220,
1139,20142230,20142230,
1140,20142240,20142240,
1141,20142263,20142263,
1142,20142265,20142265,
1143,20142270,20142270,
1144,20142310,20142310,
1145,20142320,20142320,
1146,20142333,20142333,
1147,20142337,20142337,
1148,20142338,20142338,
1149,20142350,20142350,
1150,20142360,20142360,
1151,20142373,20142373,
1152,20142375,20142375,
1153,20142410,20142410,
1154,20142433,20142433,
1155,20142439,20142439,
1156,20142450,20142450,
1157,20143120,20143120,
1158,20143130,20143130,
1159,20143150,20143150,
1160,20143195,20143195,
1161,20143197,20143197,
1162,20143215,20143215,
1163,20143219,20143219,
1164,20143220,20143220,
1165,20143235,20143235,
1166,20143250,20143250,
1167,20143271,20143271,
1168,20143277,20143277,
1169,20143278,20143278,
1170,20143280,20143280,
1171,20143310,20143310,
1172,20143320,20143320,
1173,20143330,20143330,
1174,20143340,20143340,
1175,20143350,20143350,
1176,20143363,20143363,
1177,20143365,20143365,
1178,20143367,20143367,
1179,20143370,20143370,
1180,20143381,20143381,
1181,20143382,20143382,
1182,20143385,20143385,
1183,20143387,20143387,
1184,20143410,20143410,
1185,20143420,20143420,
1186,20143430,20143430,
1187,20143440,20143440,
1188,20143473,20143473,
1189,20143475,20143475,
1190,201434Z1,201434Z1,
1191,20144113,20144113,
1192,20144119,20144119,
1193,20144123,20144123,
1194,20144129,20144129,
1195,20144130,20144130,
1196,20144151,20144151,
1197,20144153,20144153,
1198,20144159,20144159,
1199,20144170,20144170,
1200,20144233,20144233,
1201,20144235,20144235,
1202,20144290,20144290,
1203,20144310,20144310,
1204,20144320,20144320,
1205,20144330,20144330,
1206,20144340,20144340,
1207,20144350,20144350,
1208,20144360,20144360,
1209,20144370,20144370,
1210,20144420,20144420,
1211,20144430,20144430,
1212,20144450,20144450,
1213,20144490,20144490,
1214,20145133,20145133,
1215,20145139,20145139,
1216,20145151,20145151,
1217,20145215,20145215,
1218,20145225,20145225,
1219,20145230,20145230,
1220,20145260,20145260,
1221,20145280,20145280,
1222,20145290,20145290,
1223,20145350,20145350,
1224,20145380,20145380,
1225,20146111,20146111,
1226,20146113,20146113,
1227,20146115,20146115,
1228,20146119,20146119,
1229,20146120,20146120,
1230,20146135,20146135,
1231,20146150,20146150,
1232,20146160,20146160,
1233,20146170,20146170,
1234,201461Z0,201461Z0,
1235,20146211,20146211,
1236,20146213,20146213,
1237,20146215,20146215,
1238,20146219,20146219,
