ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
2611,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,411420,Leather; patent leather and laminated patent leather; metallised leather,8,Weight in kilograms,10009,nan,,,10009.0,,416572.0,,,6
2613,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,411510,"Leather; composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls",8,Weight in kilograms,448170,nan,,,448170.0,,25744942.0,,,0
2614,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,411520,"Leather; parings and other waste, of leather or composition leather; not suitable for the manufacture of leather articles; leather dust, powder and flour",8,Weight in kilograms,5879711,nan,,,5879711.0,,8902736.0,,,6
2617,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420100,"Saddlery and harness; for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any materials",8,Weight in kilograms,4198041,nan,,,4198041.0,,58555028.0,,,6
2619,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420211,"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of leather or of composition leather",5,Number of items,1046154,nan,,,3105726.0,,73491487.0,,,6
2620,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420212,"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of plastics or of textile materials",1,No Quantity,0,nan,,,8105872.0,,104356666.0,,,4
2621,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420219,"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",1,No Quantity,0,nan,,,774720.0,,16034369.0,,,6
2622,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420221,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather",5,Number of items,5391353,nan,,,1842995.0,,283972645.0,,,4
2623,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420222,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of sheeting of plastics or of textile materials",5,Number of items,11042767,nan,,,3387828.0,,116932767.0,,,4
2624,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420229,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",5,Number of items,821588,nan,,,233702.0,,16158791.0,,,4
2625,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420231,"Cases and containers; of a kind normally carried in the pocket or in the handbag, with outer surface of leather or of composition leather",8,Weight in kilograms,540956,nan,,,540956.0,,56006883.0,,,6
2626,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420232,"Cases and containers; of a kind normally carried in the pocket or in the handbag, with outer surface of sheeting of plastics or of textile materials",8,Weight in kilograms,1229621,nan,,,1229621.0,,34466058.0,,,6
2627,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420239,"Cases and containers; of a kind normally carried in the pocket or in the handbag, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",8,Weight in kilograms,140219,nan,,,140219.0,,5426957.0,,,6
2628,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420291,"Cases and containers; n.e.c. in heading 4202, with outer surface of leather or of composition leather",8,Weight in kilograms,571565,nan,,,571565.0,,43563839.0,,,6
2629,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420292,"Cases and containers; n.e.c. in heading 4202, with outer surface of sheeting of plastics or of textile materials",8,Weight in kilograms,13420557,nan,,,13420557.0,,226572647.0,,,6
2630,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,420299,"Cases and containers; n.e.c. in heading 4202, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",8,Weight in kilograms,1192802,nan,,,1192802.0,,33952081.0,,,6
