ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
33,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,0,nan,,,473224.0,,17021927.0,,,2
36,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,31679041,nan,,,31679041.0,,138657140.0,,,0
37,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,14146759,nan,,,14146759.0,,82345798.0,,,0
38,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,149541110,nan,,,149541110.0,,975442168.0,,,0
40,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",8,Weight in kilograms,498281,nan,,,498281.0,,491802.0,,,0
41,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,3825677,nan,,,3825677.0,,12681906.0,,,0
42,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,90272977,nan,,,90272977.0,,349913591.0,,,0
44,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,16077907,nan,,,16077907.0,,32429275.0,,,0
45,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",8,Weight in kilograms,124693237,nan,,,124693237.0,,243938096.0,,,0
46,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,214039331,nan,,,214039331.0,,606162856.0,,,0
